Week Start,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Weekly total,Teaching,Teaching hours,RA Work,RA Hours,Note
January 1 2024,0,0.5,0.5,7.5,1,0,2.5,12,0,0,0,0,
January 8 2024,7,6,2,0,0,0,0,15,0,0,0,0,
January 15 2024,4,3.5,1.5,1,5,3,0,18,0,0,0,0,
January 22 2024,2.5,6,1,7,3,0,0,19.5,0,0,0,0,
January 29 2024,1,5.5,5,1.5,1,0,0.5,14.5,0,0,0,0,
February 5 2024,5,7.5,6.5,7,8,3,10,47,0,0,0,0,
February 12 2024,2.5,3.5,2,0,4.5,0,0,12.5,0,0,0,0,
February 19 2024,1.5,2.5,7.5,7,6,0,0,24.5,0,0,0,0,
February 26 2024,5,8.5,2,4.5,2.5,0,1,23.5,1,23.5,0,0,
March 4 2024,0,1.5,0,0,4.5,0,0,6,1,6,0,0,
March 11 2024,4.5,1,3,6.5,3,0,0.5,18.5,1,18.5,0,0,
March 18 2024,7,2,4.5,3,7,0,0,23.5,1,23.5,0,0,
March 25 2024,3,2.5,1,3.5,0.5,1,0,11.5,1,11.5,0,0,
April 1 2024,3,1.5,2,8,0,0,0,14.5,1,14.5,0,0,
April 8 2024,0,3,1,0,1,0.5,0,5.5,1,5.5,0,0,
April 15 2024,8.5,2,6,1.5,1,0,0,19,1,19,0,0,
April 22 2024,6,3,3,2,5,10.5,,29.5,1,29.5,0,0,
April 29 2024,7,2,5,2,0,0,0,16,1,16,0,0,
May 6 2024,10,0,4,3,2.5,5.5,0,25,1,25,0,0,
May 13 2024,9.5,0.5,0,1.5,0,0,0,11.5,1,11.5,0,0,
May 20 2024,0,0,0,0,0,3.5,2,5.5,1,5.5,0,0,
May 27 2024,6,0,0,0,0,0,0,6,1,6,0,0,
June 3 2024,0,0,0,0.5,1,0.5,0,2,1,2,0,0,
June 10 2024,0,4,2,3.5,3.5,6,1,20,0,0,0,0,
June 17 2024,3,5,0,7,2,1.5,0,18.5,0,0,0,0,
June 24 2024,6,6,6,6,6,0,0,30,0,0,0,0,AMSI Winter School
July 1 2024,6,6,6,6,6,0,0,30,0,0,0,0,AMSI Winter School
July 8 2024,0,0.5,6,3,0.5,0,0,10,0,0,0,0,
July 15 2024,0,3,3.5,5.5,7,6,0,25,0,0,0,0,
July 22 2024,6.5,2,2.5,7.5,1,0,0,19.5,0,0,0,0,
July 29 2024,2.5,3,5,0,6,2.5,2.5,21.5,0,0,0,0,
August 5 2024,6,5.5,6,5,3.5,0.5,0,26.5,0,0,0,0,
August 12 2024,0,0,0,0,1,0,0,1,0,0,0,0,
August 19 2024,4.5,0,0,3.5,2,0,0,10,0,0,0,0,
August 26 2024,0,1.5,0,3.5,0,0,0,5,0,0,0,0,
September 2 2024,0,0,2,6,1,0,0,9,0,0,0,0,
September 9 2024,0,3,2.5,4,3,0,2.5,15,0,0,0,0,
September 16 2024,0,4.5,2.5,5,2.5,0,0,14.5,0,0,0,0,
September 23 2024,5.5,5,8,13,0,3,0,34.5,0,0,0,0,
September 30 2024,0,3.5,0.5,0,3.5,0,0,7.5,0,0,0,0,
October 7 2024,1.5,2,1,2.5,0,0,0,7,0,0,0,0,
October 14 2024,0,0,5,0,4.5,0,0,9.5,0,0,1,9.5,
October 21 2024,0,2,0,1,1.5,0,0,4.5,0,0,1,4.5,
October 28 2024,0,0.5,3,0,0,0,1.5,5,0,0,1,5,
November 4 2024,1.5,0.5,1,0,0,0,0,3,0,0,1,3,
November 11 2024,4.5,1,6.5,2,0,0,0,14,0,0,1,14,
November 18 2024,2,0,0.5,1,0,0,0,3.5,0,0,1,3.5,
November 25 2024,0,0.5,3,0,0,0,0,3.5,0,0,1,3.5,
December 2 2024,4.5,1.5,1,0,1,0,0,8,0,0,1,8,
December 9 2024,0,2,1,0,0,0,0,3,0,0,1,3,
December 16 2024,1,0,1,0,2,0,0,4,0,0,1,4,
December 30 2024,0,0,0,0,0,0,0,0,0,0,0,0,Christmas Break
December 23 2024,0,0,0,0,0,0,0,0,0,0,0,0,Christmas Break
